index,Pt1-baseline,Pt2-baseline,Pt3-baseline,Pt4-baseline,Pt5-baseline,Pt6-baseline,Pt8-baseline,Pt9-baseline,Pt10-baseline,Pt15-baseline,Pt16-baseline,Pt17-baseline,Pt18-baseline,Pt19-baseline,Pt20-baseline,Pt23-baseline,Pt24-baseline
A1BG,8.357535,6.608285,7.361295,5.07461,12.44225,4.1861,9.517875,7.15442,14.78075,4.19489,0.961216667,3.040353333,4.30049,4.79717,6.86738,5.068135,9.797385
A1CF,0.019939775,0.00176512,0.00414138,0.0,0.0,0.0,0.0020851,0.004562865,0.0,0.00369392,0.0,0.002555753,0.0,0.0,0.011267495,0.002163005,0.0
A2M,68.91065,95.60515,170.235,499.7505,239.425,94.29576667,65.50485,118.447,105.8045,57.8829,287.8216667,245.5846667,223.559,510.123,441.767,896.7805,63.06725
A2ML1,0.1849635,0.0037642,12.98945,2.16222,1.895395,0.0221989,25.45205,0.00505895,20.51535,0.0155221,0.0,0.0162257,0.173604,0.03019045,0.0080409,0.02213455,0.0
A2MP1,0.07308335,0.03699055,1.579495,0.5799555,0.0,0.026732367,0.11819625,0.11649375,0.0,0.02904295,0.0,0.017926733,0.0,0.2627075,0.04097205,0.0152348,0.02986605
A3GALT2,0.0651805,0.0,0.0288303,0.237948,0.0,0.0,0.02004635,0.167625,0.0,0.0,0.043522667,0.0,0.0,0.0258289,0.166993,0.0,0.0
A4GALT,0.816478,2.366695,1.45038,8.187095,12.3242,10.41102,2.261875,1.836745,8.45455,0.6243835,14.69153333,2.132556667,4.76189,4.861585,4.23932,6.11679,6.34565
A4GNT,0.0213666,0.0447582,0.0321047,0.04221735,0.0,0.009558267,0.01813735,0.0237867,0.01890175,0.0764845,0.0,0.013029233,0.0331806,0.01180545,0.34636,0.010076,0.0
AAAS,23.7863,27.34065,20.09505,24.10265,44.1101,20.15483333,36.33295,29.39675,36.2873,14.2346,28.8795,17.83146667,32.6378,18.3344,26.6617,27.5766,17.32315
AACS,3.43582,1.76758,14.14255,8.469955,9.864455,4.34556,14.29275,6.60902,21.90995,2.99718,6.208706667,5.014246667,5.79252,2.759805,10.89765,8.24786,8.709535
AACSP1,0.0,0.0,0.01730895,0.2487555,0.0,0.007472133,1.85456,0.2881145,0.3291625,0.412678,0.0,0.0,0.0,0.0,0.03982395,0.0,0.0185036
AADAC,0.04707015,0.0203841,1.0441905,0.1921395,0.3346085,0.0103157,0.8166775,0.01347945,0.668638,0.02180745,0.0,0.0898522,0.0,0.472499,0.0232161,0.0,0.02236055
AADACL2,0.0662815,0.0,6.144475,1.218425,0.323771,0.0,17.2173,0.0,4.363195,0.07071,0.0,0.0,0.0,0.01565515,0.04564405,0.0,0.0
AADACL3,0.004741795,0.0,0.0,0.6896645,0.0,0.0,0.0,0.0,0.319094,0.00828045,0.0,0.0,0.0,0.00509615,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0,0.1326115,0.0,0.0,0.00776935,0.0,0.04797405,0.0,0.0,0.0,0.0,0.0,0.01872205,0.0,0.0531809
AADAT,1.70547,2.5451,4.14194,3.00759,0.6870555,6.43855,2.57731,10.9838,1.922585,0.8706215,1.129093333,2.02098,1.34162,2.076675,16.7014,0.636324,4.083005
AAED1,9.561135,8.82147,7.842785,9.847325,2.67964,3.032783333,4.077955,2.56588,6.555525,8.08702,7.935426667,9.286503333,6.10846,9.836365,13.1085,3.100435,11.1436
AAGAB,17.7646,13.96355,16.4696,17.7702,14.99665,16.88553333,16.74805,21.17325,14.49675,15.2218,21.72116667,25.0542,16.165,20.89625,12.56215,10.7742,10.8206
AAK1,1.144085,1.36686,3.267455,2.151075,1.67541,2.011143333,2.065935,1.09311,1.187195,1.777025,1.82811,0.713067,1.34232,1.996685,3.00546,1.83749,2.22484
AAMDC,25.3059,21.76705,12.55595,12.36885,42.92925,11.72303333,27.08545,7.400085,54.27815,45.3591,16.0773,31.31146667,8.49008,29.3098,18.0688,28.7722,28.954
AAMP,55.30915,65.17525,89.4276,64.315,113.6985,61.73793333,76.14835,101.121,86.95145,61.283,87.22453333,77.0958,69.9414,54.9168,46.98065,105.7515,88.75495
AANAT,0.055476,0.01764455,0.09929505,0.1228827,0.0,0.021037267,0.1704025,0.170616,0.09532915,0.13404925,0.152485467,0.052285033,0.0560315,0.01001605,0.0,0.0884687,0.0
AAR2,46.5449,42.20305,24.8306,20.0459,38.6002,13.15896667,23.27925,24.78055,38.5324,27.07845,59.02226667,36.33656667,28.4517,24.74995,23.503,26.3145,25.10215
AARD,0.793131,0.00939805,3.447475,4.60596,0.0507026,0.086000533,0.141565,2.141355,0.0894856,0.2724185,1.079508,0.471096,3.26372,0.05636235,2.18412,1.646165,1.52517
AARS,38.30045,67.41885,65.9979,30.3634,79.1733,97.46323333,33.11385,85.6944,59.7382,39.3309,47.8817,38.26463333,78.2508,33.1536,43.5698,91.3933,73.8318
AARS2,36.21535,25.0507,10.84225,7.90461,22.2818,5.968823333,16.7188,23.04565,6.034505,10.56525,10.97203333,8.103766667,13.3171,6.8173,5.800565,8.81854,8.53325
AARSD1,34.04665,19.103,13.6598,14.30425,20.0026,18.00406667,18.2465,22.16245,24.6964,24.034,16.7119,18.10736667,23.5606,18.3161,13.43095,21.3536,20.8852
AASDH,8.69984,7.10521,2.72909,1.841895,1.525995,2.667273333,4.563085,4.427165,2.03441,6.6758,1.510246667,8.66664,1.79636,4.314615,4.386695,1.849635,2.4183
AASDHPPT,20.43975,18.8102,21.7764,23.5956,8.16842,13.41806667,16.86755,22.9592,5.916745,27.7802,4.52197,39.2282,11.676,20.1646,35.93955,7.96767,19.6706
AASS,12.36455,4.31956,6.581455,5.81769,1.334685,4.109906667,11.0972,17.0272,0.934858,16.9786,2.64191,3.01145,2.8023,5.08729,11.1466,1.64833,4.3206
AATF,35.6058,34.6513,24.36705,20.0735,37.3141,31.5199,26.74485,16.20475,41.35615,31.14075,28.7696,32.63786667,42.1956,20.21565,18.86745,44.48565,47.20995
AATK,23.4552,1.48333,25.9044,15.70785,0.462447,1.64721,5.43878,9.994795,0.786068,1.330055,1.97868,1.074723333,30.9924,1.81113,37.81565,0.8830325,0.705496
ABAT,0.5316755,1.030007,0.5035935,1.414495,0.338119,1.960356667,0.6217805,2.42218,1.52809,3.94478,0.289627667,1.871226667,0.861884,2.469305,0.4642055,5.406065,1.49796
ABCA1,8.455915,3.018995,7.432035,7.96374,3.943735,0.980998667,3.51805,4.385205,2.665725,3.91578,4.984956667,3.221216667,1.49793,5.555915,4.60913,2.963545,3.44814
ABCA10,1.45934,0.3961765,0.357675,3.878465,0.01672728,0.018091267,0.585923,4.14288,0.014360095,1.34106,0.029795967,0.287311667,0.144327,0.137529,0.292112,0.01856573,0.06479315
ABCA11P,5.46326,5.12359,2.616175,1.739185,2.963665,1.391053333,3.79792,3.71316,0.786717,5.708375,0.867384333,3.257253333,0.722059,2.738095,1.26055,0.379761,2.187935
ABCA12,0.07951615,0.0497386,4.862545,0.672967,0.55379,0.022169767,6.69694,0.00210684,4.222485,0.0437276,0.0,0.00785856,0.010842,0.0295226,0.003017505,0.0151763,0.1221015
ABCA13,0.1805075,0.08694035,0.3592115,0.06627,0.04246165,0.00512644,0.022807,0.106309,0.0412315,0.01504515,0.002832353,0.023052967,0.257854,0.0441138,0.7828625,0.006400285,0.0156177
ABCA17P,0.4132545,0.5215955,0.2371065,0.11725495,0.04615685,0.023367,0.125586,0.227517,0.06448605,0.344837,0.0338611,0.065948833,0.0796634,0.03024545,0.0084228,0.283573,0.582734
ABCA2,10.2583,9.35875,3.579905,23.96195,7.606605,6.595033333,3.647285,19.37015,13.1276,8.945105,2.4186,4.01626,8.71542,6.743185,11.60015,2.45841,10.53885
ABCA3,1.038125,5.937585,4.421765,2.473685,2.133615,2.24998,1.19718,0.792492,4.382315,3.75701,5.612343333,2.78709,2.88368,1.163075,3.83154,1.62095,1.41994
ABCA4,0.00731326,0.00788375,0.327256,0.2786595,0.0165206,0.022151067,0.084006,0.00797665,0.150399,0.0247091,0.0100457,0.01638212,0.0599506,0.01794278,0.0339919,0.00212087,0.00436587
ABCA5,9.969785,6.80648,3.732585,2.40887,0.2360905,1.129916667,5.360585,2.084465,0.576058,22.00445,0.963878333,5.466073333,2.00916,4.05752,1.79727,1.069545,0.7809065
ABCA6,1.54874,0.9519635,1.667745,16.75065,0.1295215,0.0728187,2.15127,4.762445,0.161669,0.957724,0.270582,1.637753333,0.36111,1.0093555,7.93639,0.10189505,0.6928345
ABCA7,0.8091625,2.99013,1.47014,2.957445,2.98662,2.10247,9.495095,0.648172,6.03472,3.11113,2.515863333,2.32452,2.88283,2.19093,3.181015,3.20507,0.714989
ABCA8,0.072647,1.69535,0.3647155,22.3276,0.891794,0.94029,0.7054205,80.34315,0.1814615,0.164141,0.329448,1.365586667,3.43018,1.44,3.02567,0.06310575,0.4180215
ABCA9,2.49453,1.18623,0.524235,2.34149,0.379055,0.0321908,3.08671,9.95,0.0830223,1.52918,0.0790789,0.725202333,0.22205,4.20864,1.386475,0.443364,0.374615
ABCB1,0.247041,0.30648,0.408889,0.9547905,0.3716595,5.007,0.615941,0.3500695,0.448914,0.5397275,2.37311,2.8115,0.262919,1.19857,17.35245,1.636985,0.384111
ABCB10,12.6119,5.241165,6.52525,7.121355,2.38271,7.5374,6.88451,8.803005,1.531345,6.844795,1.407956667,7.115306667,2.24311,4.29322,10.26885,1.70976,7.27089
ABCB11,0.01059955,0.02963615,0.02077665,0.011273875,0.0,0.0,0.008127085,0.0,0.0062577,0.02951155,0.0,0.0,0.0445552,0.0,0.0,0.0,0.0
ABCB4,1.021198,0.1865965,6.48132,4.262695,2.9711,1.762506667,0.3488025,4.329865,1.26278,0.3958405,10.8663,1.385643333,2.16543,5.89526,16.272,13.11185,3.992925
ABCB5,191.2,103.635,0.03695105,0.223885,23.09855,11.76223333,44.7633,1.814205,0.745008,150.5735,1.017495333,8.145023333,0.183194,86.25695,0.01300995,34.06515,23.00485
ABCB6,9.78779,15.29755,22.4693,16.0665,11.7377,8.834306667,15.86655,30.72475,13.37155,8.296445,8.992806667,10.4182,21.3358,8.76292,6.98047,19.00355,18.4003
ABCB7,11.9645,9.65105,5.900465,5.274915,4.1209,6.84557,9.39635,4.385705,5.222225,12.6878,6.739123333,12.88863333,6.90503,10.28135,4.318735,4.005,7.98949
ABCB8,11.04875,9.915315,9.05894,12.9554,41.7697,6.38783,15.07655,14.38995,15.6025,4.267405,13.2787,6.37869,8.31155,6.139815,13.78885,15.9795,10.92245
ABCB9,1.011824,1.392365,25.41235,10.59425,5.71303,9.98842,2.837705,2.903,3.471525,0.839879,13.794,2.445516667,2.32137,1.62765,8.86742,8.99737,3.51069
ABCC1,7.493395,3.216035,6.26762,5.84561,3.63938,11.15786667,6.89032,15.9166,8.862245,7.442035,5.167096667,4.477786667,8.86548,8.42909,2.58159,2.81413,15.6698
ABCC10,11.7674,10.68925,5.08997,5.510305,6.445245,6.012223333,8.865005,14.1288,5.382035,7.80645,6.0101,4.108443333,8.38862,6.24929,5.387525,5.265265,5.108885
ABCC11,3.061505,13.5961,0.12158,0.043437,0.03765485,0.00960602,1.19577,0.1934465,0.0855715,1.28431,0.502757,0.654846667,0.120189,9.11776,0.05382865,0.1385105,0.162175
ABCC12,0.0476943,0.02246315,0.0,0.010637155,0.0,0.0,0.135343,0.0075615,0.0,0.0119657,0.0,0.003990367,0.0,0.0219656,0.0,0.0,0.0
ABCC13,0.0,0.0,0.00680505,0.0,0.0,0.0,0.16342645,0.0076188,0.0,0.0,0.0,0.0,0.0,0.0320725,0.0,0.0,0.0
ABCC2,0.375977,16.11355,0.2308815,0.1042032,2.930545,6.548646667,5.969655,0.10203585,1.27586,0.85695,1.986436667,8.09121,1.98778,0.406984,0.4999595,10.215955,2.892795
ABCC3,0.6022225,0.806359,1.80569,2.084345,2.728635,0.999613667,2.86566,0.0856848,5.75629,0.8634115,0.689917667,0.601028667,0.83086,2.31783,1.40902,5.6771,1.38087
ABCC4,2.1604,0.58363,5.80957,9.63751,1.72581,5.089833333,2.360085,3.29123,3.18724,2.35544,2.645866667,2.381986667,8.65525,1.172725,1.523465,2.344175,8.182115
ABCC5,24.0856,18.91475,18.25265,12.94675,8.337075,12.22153333,39.8018,20.46205,7.583315,27.8759,12.38386667,9.118526667,18.5612,14.80735,16.18625,13.329,20.12145
ABCC6,0.03515995,0.06367945,0.140344,0.09029355,0.0779785,0.0884608,0.027476955,0.152468,0.09591635,0.0197074,0.282162033,0.0556192,0.0194241,0.08761735,0.15128875,0.0,0.10013975
ABCC6P1,0.0,0.0,0.0275552,0.0054673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084311,0.0,0.00773975,0.0,0.0,0.0
ABCC8,0.0,0.003129995,1.333545,1.230185,0.0,0.028932033,0.00481185,0.0085416,0.07200815,0.238995,0.024781533,0.004077233,0.0362397,0.0122248,0.0,0.003201905,0.00889215
ABCC9,1.15243,1.285745,1.271745,3.011575,1.07857,1.073567667,1.535005,2.000175,0.465485,2.567315,0.539715333,0.959997,0.796013,1.941565,1.957495,0.36975,2.41337
ABCD1,30.97955,36.12895,6.460675,8.448995,76.3388,29.35243333,9.851355,4.49408,27.3137,19.0558,55.1739,18.03113333,32.8045,19.2909,10.8202,26.3697,9.785975
ABCD2,0.04370505,0.121502,0.0,0.1507385,0.0205885,0.005522283,0.053112,0.01558651,0.00868747,0.188468,0.056750533,2.683793333,0.0744187,0.2543475,0.0212195,0.09776325,0.08681745
ABCD3,13.10555,30.6544,14.2074,15.91295,7.21865,15.41226667,25.8355,10.94565,6.510885,26.4555,8.701496667,27.18166667,5.5602,19.63965,18.60525,7.749205,13.88035
ABCD4,16.8526,14.7054,7.71266,8.22814,6.09894,4.245093333,11.822,13.9175,9.019945,11.84715,9.15412,8.179326667,10.5933,9.716875,7.02013,7.58236,4.49229
ABCE1,34.63395,25.7963,25.40385,17.7205,7.73584,28.9091,18.6817,37.35275,9.06812,28.59085,12.054,45.6829,8.03757,22.31155,38.18485,10.97415,42.7237
ABCF1,5.213615,10.5707,3.44627,3.619015,8.81349,6.576233333,7.259575,6.045035,4.20071,2.95965,6.32067,6.040906667,5.06374,5.95958,3.760595,6.139095,5.906095
ABCF2,25.15595,20.98065,32.27195,25.74975,66.62185,27.0578,28.3542,30.1294,26.60895,13.27945,34.56246667,25.38853333,24.5989,17.62805,42.0599,36.9138,57.0832
ABCF3,19.075,27.18255,27.53405,18.98725,41.14075,20.38183333,24.4462,14.24075,27.2081,19.59675,29.7399,23.12676667,53.9926,25.3232,19.788,32.7614,24.742
ABCG1,7.320125,4.34855,2.89479,5.911535,11.9952,1.60046,8.963385,2.317555,10.4646,2.185565,3.828756667,8.84464,4.05955,10.7468,2.14788,4.247885,2.61686
ABCG2,0.1618625,0.155049,0.1390385,0.259688,0.361729,0.133018,0.6721515,0.642159,0.526441,0.2490315,1.053815333,2.39548,0.19866,0.3182245,0.241899,1.29115,0.397951
ABCG4,0.02932255,0.028028,0.719382,0.122181,0.0652721,0.031555667,0.666846,0.08647765,0.7331175,0.0,0.0079939,0.006079033,0.0,0.0622596,0.0741395,0.0593625,0.1960385
ABCG5,0.156832,0.0431264,0.0589004,0.01176065,0.333898,0.493275,0.0812585,0.5313,0.4069635,0.1943975,0.174017533,0.473383667,0.409534,0.9068055,0.1602105,0.0274002,0.05363335
ABCG8,0.0,0.0,0.02170025,0.0,0.0,0.0,0.0,0.02410765,0.0067611,0.0133956,0.042204333,0.0167391,0.0,0.0,0.0,0.0,0.0
ABHD1,0.0,0.0238592,0.2364995,0.350176,0.09220555,0.060905933,0.052689,0.1116482,1.260605,0.1986935,0.261937333,0.048020933,0.999702,0.071706,0.0427515,0.6743165,0.204942
ABHD10,11.37885,15.02055,12.0341,8.49076,4.10168,14.77016667,11.5589,9.839325,5.56171,12.7372,8.62361,18.4143,13.728,14.9735,7.255245,6.48366,14.9678
ABHD11,10.97655,17.0449,18.38995,18.75495,32.6906,10.23939667,25.62155,13.31285,20.94285,7.66768,9.44589,7.582996667,15.1167,4.060165,19.1618,8.8638,15.80045
ABHD12,52.9323,58.86075,88.77185,26.9098,109.155,35.0112,47.4753,36.77985,79.0274,37.29335,128.172,70.28203333,67.4807,40.2091,77.9008,147.1945,34.0073
ABHD12B,3.51768,0.764688,4.544005,2.08901,0.261809,0.0093014,5.117745,0.2302925,3.563055,0.6169885,9.506853333,0.016022267,1.01512,3.122805,0.1266605,0.216292,0.0224396
ABHD13,7.01857,8.432785,4.309215,5.726755,2.25807,5.38192,4.55098,7.357695,2.05519,10.8739,5.13927,9.365403333,3.33946,6.787825,8.67803,2.114405,7.007005
ABHD14A,16.94695,27.79735,6.241435,14.5817,49.72435,16.2274,22.324,8.270545,44.3505,8.35458,18.92046667,12.6055,26.6885,10.092585,9.89787,25.5069,13.85685
ABHD14B,41.2377,48.5634,14.73465,26.9201,68.37295,33.00696667,58.62035,18.33815,78.4153,41.54655,30.91653333,31.65693333,38.3471,35.31925,13.83055,60.53765,15.09815
ABHD15,5.18203,6.65974,2.040255,4.812145,9.91531,8.243736667,3.348045,2.78677,7.61336,4.90092,3.98675,8.958683333,5.53087,4.41069,7.560545,5.17305,6.87909
ABHD16A,7.087735,14.22265,5.93148,9.250195,8.761305,5.978203333,9.6366,11.9557,5.804785,5.386985,12.87273333,16.93716667,12.981,10.40355,12.9254,7.235405,4.348235
ABHD16B,7.323045,4.436915,5.572995,6.411165,4.658505,2.25485,6.16964,9.95992,7.183265,5.38506,7.061176667,3.58523,1.94225,4.287595,5.57664,8.70364,4.876965
ABHD17A,71.65105,46.00215,29.3193,49.3357,58.11755,31.6822,85.74585,50.40855,83.12965,26.61815,44.4951,57.77356667,99.5267,48.04495,60.02395,24.79745,52.32835
ABHD17B,20.59315,11.42585,7.158335,5.275595,3.107675,3.04819,6.94647,8.07306,4.298645,11.43435,6.016033333,20.73423333,3.21923,8.592355,6.655205,2.45807,8.459925
ABHD17C,5.91131,4.53775,16.88055,56.74735,10.6187,48.10976667,8.04367,24.30735,10.12591,5.24593,45.9611,8.98679,6.37596,7.40379,47.84155,8.115105,7.610615
ABHD2,7.153555,14.4062,14.03825,68.51755,19.9446,22.6928,11.79835,18.06815,20.4465,12.16685,30.8392,9.97307,23.1111,9.157025,39.024,25.6232,9.36526
ABHD3,9.252025,4.36025,5.626715,11.48435,1.35093,5.504713333,7.012795,8.724985,2.746435,9.198455,9.05448,14.3326,9.5007,5.8515,21.6093,5.85907,8.771265
ABHD4,21.2771,24.7171,16.1024,9.95884,19.03685,7.02732,15.0909,12.2683,14.41345,11.16615,24.48553333,11.3688,8.55921,10.29625,8.196335,29.60385,13.1243
ABHD5,3.51962,4.86098,4.626945,5.277005,1.67532,1.824416667,9.424395,1.64119,4.88052,4.33774,2.331263333,6.733016667,1.34289,3.1103,3.010215,1.497975,2.729365
ABHD6,2.936935,18.3249,5.10984,5.187055,5.45262,9.090533333,6.73284,3.70505,11.8837,6.130855,22.36743333,10.954,11.0211,3.852135,16.0223,11.7459,3.24905
ABHD8,3.01089,5.42691,5.39462,10.9504,6.600585,6.76559,7.566575,4.3951,12.2682,4.148125,9.222783333,11.01456667,6.35938,4.9068,9.629945,9.420885,6.46417
ABI1,18.40115,33.0917,18.0318,14.95455,8.787685,14.47613333,18.6125,12.11995,15.4316,26.54785,15.1458,38.71913333,14.0342,36.1553,22.544,12.64375,13.52845
ABI2,5.58457,8.63373,17.4465,22.9967,5.239315,8.897696667,9.565505,36.01785,5.534595,11.3896,10.4877,8.148553333,5.84291,6.86783,28.66955,4.15016,11.94495
ABI3,3.073545,5.418785,1.611515,13.5746,10.28475,3.167296667,3.87891,1.54114,6.268935,3.775315,5.62973,20.43283333,4.87092,7.766815,2.963645,29.263,3.254365
ABI3BP,0.4953105,5.093635,1.72067,7.408945,3.042105,0.49366,4.556395,1.45809,3.68069,3.02863,1.67388,3.630786667,2.01772,8.921875,10.095975,3.184355,1.62833
ABL1,23.95465,14.3405,10.82555,19.1719,18.8465,9.94538,13.001,19.27965,22.12795,17.79365,23.73323333,14.2636,25.3884,32.7652,20.96025,33.0179,28.5263
ABL2,26.8653,13.534,6.503885,3.319315,5.78092,8.617826667,10.55335,5.074345,3.26188,13.2242,10.9271,7.94932,7.43223,5.99419,8.631265,5.558705,7.259955
ABLIM1,2.54789,1.76155,7.734815,8.232025,5.21386,1.888193333,29.12775,13.9814,17.28545,2.524375,7.31165,3.569506667,3.8623,5.09931,0.9751805,2.558595,1.083746
ABLIM2,0.1651205,0.6503305,0.8583995,1.79643,1.30712,0.853246,2.064605,0.4582865,3.12169,0.2592165,0.360654333,0.355758,0.135479,0.58667,0.376302,0.5442845,0.131918
ABLIM3,6.357205,2.551795,4.144465,11.50365,4.7045,3.74223,6.99839,3.191615,11.64315,8.646925,1.951613333,4.3028,12.0803,8.16538,11.77075,6.66507,2.99711
ABO,0.0850927,0.1682165,0.20963,0.1485655,0.6334865,0.0567379,0.2005185,0.168023,0.604443,0.0701666,0.042461033,0.074160367,0.0,0.0401755,0.07286665,0.01090585,0.0283854
ABR,94.3929,57.04365,15.8567,25.92045,31.1498,36.3357,86.0102,35.7803,54.7777,32.9527,60.46736667,29.47353333,71.9859,24.11785,43.1618,95.3266,59.97535
ABRA,0.00628685,0.0,0.00624775,0.01004015,0.0,0.0,0.00701865,0.00709275,0.0,0.02083225,0.0,0.0,0.0177649,0.0,0.0,0.0,0.01169645
ABRACL,32.0106,18.21375,45.3338,32.26515,41.74965,51.7236,37.8421,35.41615,41.17345,64.7772,61.74873333,73.03613333,17.0493,30.38175,42.2193,44.79435,77.2964
ABT1,29.75305,33.1427,11.37555,12.88455,27.8675,15.7027,22.91945,23.93945,19.71955,22.324,23.4407,26.9067,32.8553,21.3548,10.9373,11.95875,17.5601
ABTB1,16.63835,14.53155,25.9028,30.83535,11.9212,3.31736,20.16385,12.71695,21.83395,25.8045,32.04333333,21.8489,20.5988,12.12655,7.91368,22.7778,8.00925
ABTB2,10.3667,17.54715,15.97575,9.73818,14.0282,5.78227,10.1484,36.97015,5.74173,11.64335,16.98263333,4.324306667,4.58893,10.06146,9.058075,4.953425,10.6679
ACAA1,19.97915,39.18855,27.4464,31.70895,35.96945,21.5722,43.5103,22.96805,49.39925,33.05185,38.09256667,27.04463333,34.8903,25.10895,13.1868,24.54475,35.74485
ACAA2,26.47135,30.91435,30.69055,17.06085,14.9157,24.25246667,13.70965,27.22235,30.61555,23.1534,33.32276667,28.13523333,17.6474,24.48305,10.26905,20.1171,40.0669
ACACA,9.22614,8.274155,5.969065,4.91165,3.450755,4.499643333,5.390575,10.113575,5.135635,4.20229,3.385876667,2.153423333,6.5834,3.218215,4.41769,3.035365,8.57536
ACACB,1.307395,0.822373,1.98157,1.957325,2.18238,0.360713667,2.005725,1.56723,2.38215,1.628605,2.193293333,1.064926667,2.25226,1.53218,1.60926,2.946175,1.64541
ACAD10,7.161445,5.89511,3.773915,4.67807,6.307295,7.29095,5.721965,8.742145,6.23954,3.71334,9.53135,5.22828,5.93566,4.832995,7.886325,13.652,3.62277
ACAD11,8.471185,8.327545,9.33501,5.523315,0.5806395,0.738297667,8.53862,10.34615,1.374505,11.68315,1.357116667,4.751513333,13.0857,5.29875,6.07192,1.009014,1.98647
ACAD8,7.748515,8.110525,10.9304,10.7824,10.068095,5.49361,17.10635,9.86584,10.54055,11.264,5.97884,10.51706667,5.97875,11.24705,12.9099,11.04055,5.29332
ACAD9,13.98465,21.0979,20.55685,16.99185,10.3373,7.551876667,26.84635,12.96925,27.6434,13.44,32.66833333,16.43526667,53.0924,11.38035,20.9656,18.1513,14.08165
ACADL,0.0,0.00660365,0.0076907,0.1563805,0.010169,0.006434133,0.1834735,0.0958352,0.07380135,0.1362782,0.030412033,0.056073633,0.165111,0.02576085,0.0,0.0,0.3326905
ACADM,13.94125,20.44685,14.88365,16.07315,6.38762,38.135,18.79585,13.64545,5.06977,23.8488,12.48283333,32.6428,19.593,29.84125,25.4848,11.8743,23.0034
ACADS,8.30253,16.0883,16.09255,8.70633,27.24945,5.959556667,18.12805,12.9598,22.14325,2.96968,17.99826667,16.8163,12.3465,10.7782,8.9371,14.9131,7.24371
ACADSB,3.232175,3.6126,3.95363,2.43171,0.970572,4.176856667,3.82861,2.931175,1.11744,5.575825,0.611259,3.740753333,1.82299,2.52265,0.799106,1.235775,2.12739
ACADVL,80.027,85.2607,91.82715,97.0676,123.1635,96.22803333,124.238,122.883,149.499,41.31405,130.586,49.30286667,174.825,42.507,147.1325,99.36685,49.5704
ACAN,0.11550405,0.0403264,1.72918,1.600475,0.9154705,0.114735067,0.2851115,0.05461985,0.3352905,0.0168291,0.178416333,0.045856267,0.605489,0.289536,0.5184965,0.07860105,0.2954985
ACAP1,1.03298,2.559945,0.5010155,4.751695,2.158935,0.383846667,1.4702,0.09035555,3.340645,3.25665,3.43557,19.0663,3.45316,7.37192,0.8036875,4.13579,0.3797135
ACAP2,9.578855,13.43105,13.1826,10.100185,2.59221,7.04256,10.9192,6.691695,2.9984,12.48285,5.34746,12.65246667,6.12469,10.45025,13.0207,5.03544,12.27495
ACAP3,10.19912,18.08965,21.59815,36.1483,14.56605,10.40233333,39.422,51.63615,14.30575,7.89946,6.290563333,6.718803333,29.2993,7.98047,46.0317,7.09988,10.242035
ACAT1,14.69195,21.60525,23.91025,15.2187,13.16845,16.56093333,18.6471,17.68065,12.18565,3.527885,6.229053333,36.78863333,10.8074,25.00775,18.09725,10.79805,35.56105
ACAT2,12.7511,13.1017,19.3856,9.232065,4.530085,9.309843333,14.8337,9.320355,11.75005,10.62435,30.818,11.0023,6.17602,8.104345,8.715,7.650565,12.6893
ACBD3,36.41315,22.3598,19.5479,17.8602,8.845165,24.07176667,20.37345,19.5477,9.356905,22.49575,18.26396667,27.58143333,8.76902,21.44015,18.9843,15.1391,27.8436
ACBD4,4.884685,3.73323,2.03213,3.189845,3.95608,2.979666667,9.56635,2.656205,8.48181,5.018225,2.280583333,5.145186667,5.7807,3.666045,1.79376,5.836565,1.76221
ACBD5,7.87257,10.31635,6.543265,7.75479,1.56566,7.23752,6.57524,3.750585,3.489135,6.78778,3.922133333,11.9867,5.02672,10.74915,11.3383,3.625645,5.91817
ACBD6,53.5366,21.09355,16.39325,20.7568,35.0916,25.96546667,35.70945,28.31725,32.61285,29.13615,38.05266667,20.88336667,115.399,17.1925,16.1447,16.4925,32.28945
ACBD7,0.1094878,0.129877,1.428715,0.6783855,0.2279665,0.055879433,0.1226505,0.3670175,0.168773,0.308776,1.022933667,0.326456,0.415036,0.1248288,0.313949,0.03444845,0.1375845
ACCS,8.2085,6.54447,2.844205,3.9483,2.95484,2.93275,16.6338,6.770515,8.68016,20.68565,1.864653333,5.48318,12.1843,11.4082,1.88287,6.402435,0.684062
ACCSL,7.02786,4.267865,0.03117825,0.01673015,0.2548725,0.0640644,0.5291245,0.03505045,0.30467,3.10211,0.076371567,0.527559,0.146599,2.18152,0.0,1.124145,0.08323345
ACD,6.934045,12.3329,8.13577,8.77794,20.7215,8.881483333,9.599355,13.8661,15.9951,10.36875,5.786586667,11.2661,9.48293,6.812195,7.24386,9.557665,12.81405
ACE,1.263015,2.27941,1.43584,4.379575,9.13411,1.91476,3.29999,0.9528065,8.372765,1.18253,4.549033333,4.464966667,6.41654,5.34358,3.99462,11.35485,5.32971
ACE2,0.0988869,0.01999265,0.07455165,0.01900745,0.0196031,0.014665767,0.2293315,0.0588388,0.1773915,0.04872455,0.0189693,0.0288421,0.0250191,0.00541985,0.00891495,0.00966988,0.11070715
ACER1,0.06964995,0.0,7.568735,1.7588,2.98832,0.0,19.9169,0.0,12.8407,0.0,0.0,0.080759233,0.0,0.0,0.0,0.0199465,0.0
